INDEX,,,5. EMPLOYMENT: Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,
31,5.7,31-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.4,29.9,29.8,30.8,31.0,39.5,31.8,34.9,40.1,44.8,36.8,41.6,49.5,,,,,,,,,,,,
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5.1,44-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
44,5.2,44-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
44,5.3,44-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
44,5.4,44-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
44,5.5,44-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
44,5.6,44-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
44,5.7,44-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5.1,48-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.0,19.0,21.0,23.0,20.0,64.0,73.0,76.0,68.0,71.0,103.0,,,,,,,,,,,,
48,5.2,48-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.0,13.0,14.0,15.0,15.0,12.0,15.0,14.0,8.0,10.0,14.0,,,,,,,,,,,,
48,5.3,48-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
48,5.4,48-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,2.0,2.0,3.0,2.0,40.0,47.0,51.0,45.0,46.0,76.0,,,,,,,,,,,,
48,5.5,48-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,1.0,1.0,1.0,..,4.0,4.0,5.0,4.0,7.0,4.0,,,,,,,,,,,,
48,5.6,48-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,
48,5.7,48-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,9.0,6.0,7.0,,,,,,,,,,,,
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5.1,50-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
50,5.2,50-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
50,5.3,50-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
50,5.4,50-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
50,5.5,50-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
50,5.6,50-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
50,5.7,50-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
52,0,52-0,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5.1,52-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
52,5.2,52-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
52,5.3,52-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
52,5.4,52-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
52,5.5,52-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
52,5.6,52-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
52,5.7,52-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Data until 2011 based on the state statistical observation of the number of employees in collective accommodation establishments and travel agencies. Data from 2014 are presented without breakdown by component.,,,,,,,,,,,
112,5.1,112-5.1,,,Total,,,Thousands,1/,..,..,..,27.1,28.4,32.9,33.7,33.0,32.5,32.6,31.0,32.8,34.1,27.5,28.3,227.8,228.2,226.0,225.4,226.7,222.2,242.8,242.0,255.6,257.8,195.4,192.1,189.8,,,,,,,,,,,,
112,5.2,112-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,3.1,3.4,7.0,7.1,6.5,6.6,6.7,6.7,7.0,7.4,7.5,8.1,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
112,5.3,112-5.3,,,,Other accommodation services,,Thousands,,..,..,..,20.9,21.6,22.7,23.8,23.9,23.6,23.6,20.2,16.6,16.4,16.5,16.5,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
112,5.4,112-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
112,5.5,112-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
112,5.6,112-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,3.1,3.4,3.2,2.8,2.6,2.3,2.3,4.1,9.2,10.3,3.5,3.7,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
112,5.7,112-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
56,0,56-0,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Only salaried employment; figures for self-employed persons are only available by sector of activity.,,,,,,,,,,,
56,5.1,56-5.1,,,Total,,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,138.0,139.0,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
56,5.2,56-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.5,15.7,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
56,5.3,56-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.6,4.6,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
56,5.4,56-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.7,69.8,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
56,5.5,56-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.1,39.1,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
56,5.6,56-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.9,6.7,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
56,5.7,56-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.1,2.9,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
84,0,84-0,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,5.1,84-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,13.9,15.7,..,..,13.2,13.2,15.5,18.9,19.2,19.6,20.9,22.1,23.0,23.5,17.2,15.7,..,,,,,,,,,,,,
84,5.2,84-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,6.2,6.6,6.7,6.3,5.9,5.9,6.5,7.3,12.5,8.8,9.4,9.9,9.9,9.9,7.9,7.9,..,,,,,,,,,,,,
84,5.3,84-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,..,..,..,..,..,..,,,,,,,,,,,,
84,5.4,84-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.1,5.7,6.3,6.9,7.2,5.3,5.0,..,,,,,,,,,,,,
84,5.5,84-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6,1.0,1.8,1.8,1.8,1.8,1.9,1.9,1.0,0.1,..,,,,,,,,,,,,
84,5.6,84-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,0.8,2.6,1.5,1.9,2.1,2.2,2.4,2.0,1.7,..,,,,,,,,,,,,
84,5.7,84-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.6,9.8,2.3,2.4,2.1,2.0,2.1,2.1,0.9,1.0,..,,,,,,,,,,,,
204,0,204-0,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,5.1,204-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
204,5.2,204-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
204,5.3,204-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
204,5.4,204-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
204,5.5,204-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
204,5.6,204-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
204,5.7,204-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
60,0,60-0,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5.1,60-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
60,5.2,60-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
60,5.3,60-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
60,5.4,60-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
60,5.5,60-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
60,5.6,60-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
60,5.7,60-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
64,0,64-0,BHUTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,5.1,64-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
64,5.2,64-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
64,5.3,64-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
64,5.4,64-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
64,5.5,64-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
64,5.6,64-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
64,5.7,64-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
68,0,68-0,"BOLIVIA, PLURINATIONAL STATE OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,5.1,68-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
68,5.2,68-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
68,5.3,68-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
68,5.4,68-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
68,5.5,68-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
68,5.6,68-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
68,5.7,68-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
534,0,534-0,BONAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,5.1,534-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
534,5.2,534-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
534,5.3,534-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
534,5.4,534-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
534,5.5,534-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
534,5.6,534-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
534,5.7,534-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
70,0,70-0,BOSNIA AND HERZEGOVINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Data from monthly statistical survey RAD. 2017: new methodology.,,,,,,,,,,,
70,5.1,70-5.1,,,Total,,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.6,26.6,21.8,24.2,24.6,35.9,39.4,41.4,43.1,39.6,38.9,40.6,,,,,,,,,,,,
70,5.2,70-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.3,5.3,5.3,5.4,5.3,5.9,6.9,7.4,7.8,6.5,6.2,7.0,,,,,,,,,,,,
70,5.3,70-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
70,5.4,70-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.3,14.3,15.8,18.1,18.6,29.2,31.5,32.9,34.1,32.1,31.8,32.9,,,,,,,,,,,,
70,5.5,70-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
70,5.6,70-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.0,7.0,0.7,0.7,0.7,0.8,1.0,1.1,1.2,1.0,0.8,0.7,,,,,,,,,,,,
70,5.7,70-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
72,0,72-0,BOTSWANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,5.1,72-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
72,5.2,72-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
72,5.3,72-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
72,5.4,72-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
72,5.5,72-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
72,5.6,72-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
72,5.7,72-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
76,0,76-0,BRAZIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Annual Directory of Corporate Information (RAIS) - 2014 - Ministério do Trabalho; Formal employees: registered and covered by social security – National Household Survey - 2014 - IBGE - Informal employees: not registered and not covered by social security.,,,,,,,,,,,
76,5.1,76-5.1,,,Total,,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,"1,691.5","1,735.9","1,801.0","1,873.1","1,908.6","1,995.4","2,052.6","2,059.7","1,938.9","2,045.1","2,074.9","2,129.5","2,128.0","2,182.9","2,192.2",..,..,..,,,,,,,,,,,,
76,5.2,76-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,243.4,259.0,264.5,268.7,276.0,288.9,298.1,301.9,318.8,340.2,340.4,318.5,312.6,316.7,318.6,..,..,..,,,,,,,,,,,,
76,5.3,76-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
76,5.4,76-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,782.0,844.8,917.4,996.0,"1,044.4","1,086.4","1,111.0","1,119.0","1,009.7","1,085.9","1,132.5","1,201.0","1,217.0","1,267.5","1,275.2",..,..,..,,,,,,,,,,,,
76,5.5,76-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,504.5,471.6,465.4,448.2,429.7,449.3,470.2,468.9,443.4,447.3,433.7,436.8,423.1,414.2,420.9,..,..,..,,,,,,,,,,,,
76,5.6,76-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,82.6,87.4,82.4,90.0,86.5,96.0,102.6,102.0,98.3,96.3,90.6,91.3,91.4,94.8,92.9,..,..,..,,,,,,,,,,,,
76,5.7,76-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,79.0,73.1,71.3,70.2,72.0,74.8,70.7,67.9,68.7,75.4,77.7,81.9,83.9,89.8,84.6,..,..,..,,,,,,,,,,,,
92,0,92-0,BRITISH VIRGIN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,5.1,92-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
